,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,group,poscar_name,vacancy_poscar_name,E_vac_min,minimum
506,531,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s24_0,50.0%,-732.42547964,0.8871000000000002,0.0168870407500003,4.8274,,-737.80335654,-0.5526031700000669,0.8871000000000002,rattle,Al2O3_Pna2_1_s24_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s24_0_50.0%,-732.42547964,True
531,556,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s18_0,10.0%,-733.51802691,2.2596000000000007,0.0168870407500003,4.8274,,-737.80335654,-1.6451504400000214,2.2596000000000007,rattle,Al2O3_Pna2_1_s18_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s18_0_10.0%,-733.51802691,True
532,557,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s30_0,50.0%,-732.26074372,2.0012000000000008,0.0168870407500003,4.8274,,-737.80335654,-0.3878672500000686,2.0012000000000008,rattle,Al2O3_Pna2_1_s30_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s30_0_50.0%,-732.26074372,True
555,580,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s31_0,-60.0%,-732.8581628,1.5055000000000005,0.0168870407500003,4.8274,,-737.80335654,-0.9852863299999637,1.5055000000000005,rattle,Al2O3_Pna2_1_s31_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s31_0_-60.0%,-732.8581628,True
560,585,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s19_0,-10.0%,-733.80923144,2.5185000000000004,0.0168870407500003,4.8274,,-737.80335654,-1.9363549699999805,2.5185000000000004,rattle,Al2O3_Pna2_1_s19_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s19_0_-10.0%,-733.80923144,True
576,601,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s36_0,-50.0%,-739.33266516,2.8062000000000005,0.0168870407500003,4.8274,,-737.80335654,-7.459788690000051,2.8062000000000005,rattle,Al2O3_Pna2_1_s36_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s36_0_-50.0%,-739.33266516,True
594,619,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s33_0,-60.0%,-739.73784892,2.0568,0.0168870407500003,4.8274,,-737.80335654,-7.864972450000051,2.0568,rattle,Al2O3_Pna2_1_s33_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s33_0_-60.0%,-739.73784892,True
605,630,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s35_0,40.0%,-738.08990397,2.5853,0.0168870407500003,4.8274,,-737.80335654,-6.217027500000041,2.5853,rattle,Al2O3_Pna2_1_s35_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s35_0_40.0%,-738.08990397,True
611,636,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s16_0,60.0%,-729.88171465,2.5217,0.0168870407500003,4.8274,,-737.80335654,1.9911618199999328,2.5217,rattle,Al2O3_Pna2_1_s16_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s16_0_60.0%,-729.88171465,True
633,658,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s29_0,-60.0%,-736.12680875,2.1745,0.0168870407500003,4.8274,,-737.80335654,-4.253932280000027,2.1745,rattle,Al2O3_Pna2_1_s29_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s29_0_-60.0%,-736.12680875,True
642,667,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s26_0,40.0%,-736.16239517,1.7284000000000006,0.0168870407500003,4.8274,,-737.80335654,-4.289518699999986,1.7284000000000006,rattle,Al2O3_Pna2_1_s26_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s26_0_40.0%,-736.16239517,True
653,678,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s23_0,30.0%,-732.24938522,2.2112000000000007,0.0168870407500003,4.8274,,-737.80335654,-0.37650875000004014,2.2112000000000007,rattle,Al2O3_Pna2_1_s23_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s23_0_30.0%,-732.24938522,True
660,685,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s34_0,50.0%,-740.80572912,1.8232999999999997,0.0168870407500003,4.8274,,-737.80335654,-8.932852650000042,1.8232999999999997,rattle,Al2O3_Pna2_1_s34_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s34_0_50.0%,-740.80572912,True
674,699,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s37_0,60.0%,-729.89160627,2.3375999999999992,0.0168870407500003,4.8274,,-737.80335654,1.9812701999999707,2.3375999999999992,rattle,Al2O3_Pna2_1_s37_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s37_0_60.0%,-729.89160627,True
689,714,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s21_0,-20.0%,-741.79452581,1.9299999999999995,0.0168870407500003,4.8274,,-737.80335654,-9.92164934,1.9299999999999995,rattle,Al2O3_Pna2_1_s21_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s21_0_-20.0%,-741.79452581,True
699,724,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s17_0,60.0%,-728.14424748,1.3944,0.0168870407500003,4.8274,,-737.80335654,3.728628989999992,1.3944,rattle,Al2O3_Pna2_1_s17_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s17_0_60.0%,-728.14424748,True
715,740,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s22_0,-50.0%,-739.05041321,2.1894,0.0168870407500003,4.8274,,-737.80335654,-7.177536740000006,2.1894,rattle,Al2O3_Pna2_1_s22_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s22_0_-50.0%,-739.05041321,True
724,749,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s28_0,60.0%,-740.07110589,2.9959,0.0168870407500003,4.8274,,-737.80335654,-8.19822942000003,2.9959,rattle,Al2O3_Pna2_1_s28_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s28_0_60.0%,-740.07110589,True
743,768,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s27_0,-40.0%,-733.80925811,2.5283999999999995,0.0168870407500003,4.8274,,-737.80335654,-1.9363816399999916,2.5283999999999995,rattle,Al2O3_Pna2_1_s27_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s27_0_-40.0%,-733.80925811,True
757,782,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s39_0,40.0%,-732.83415594,1.2508,0.0168870407500003,4.8274,,-737.80335654,-0.9612794699999778,1.2508,rattle,Al2O3_Pna2_1_s39_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s39_0_40.0%,-732.83415594,True
770,795,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s38_0,40.0%,-728.87944077,2.3076000000000008,0.0168870407500003,4.8274,,-737.80335654,2.993435700000008,2.3076000000000008,rattle,Al2O3_Pna2_1_s38_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s38_0_40.0%,-728.87944077,True
775,800,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s20_0,50.0%,-729.28724234,2.8228,0.0168870407500003,4.8274,,-737.80335654,2.5856341299999475,2.8228,rattle,Al2O3_Pna2_1_s20_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s20_0_50.0%,-729.28724234,True
789,815,group_13_metal_oxides,In2O3,Pbcn,,,8.0,-288.57301883,,,,,,s8_0,60.0%,-2298.93683536,1.4895000000000005,0.0495181169999998,0.7626999999999997,,-2308.58415064,3.7168352100003847,1.4895000000000005,rattle,In2O3_Pbcn_s8_0,group_13_metal_oxides_In2O3_Pbcn,group_13_metal_oxides_In2O3_Pbcn_s8_0_60.0%,-2298.93683536,True
813,839,group_13_metal_oxides,In2O3,Pbcn,,,8.0,-288.57301883,,,,,,s9_0,10.0%,-2298.94191843,1.4905999999999988,0.0495181169999998,0.7626999999999997,,-2308.58415064,3.7117521400002023,1.4905999999999988,rattle,In2O3_Pbcn_s9_0,group_13_metal_oxides_In2O3_Pbcn,group_13_metal_oxides_In2O3_Pbcn_s9_0_10.0%,-2298.94191843,True
823,849,group_13_metal_oxides,In2O3,Pbcn,,,8.0,-288.57301883,,,,,,s16_0,0.0%,-2299.40727019,1.6546999999999992,0.0495181169999998,0.7626999999999997,,-2308.58415064,3.2464003800002263,1.6546999999999992,rattle,In2O3_Pbcn_s16_0,group_13_metal_oxides_In2O3_Pbcn,group_13_metal_oxides_In2O3_Pbcn_s16_0_0.0%,-2299.40727019,True
833,860,group_13_metal_oxides,Ga2O3,R-3c,,,18.0,-102.33403641,,,,,,s4_0,30.0%,-1830.61328657,2.2523,0.0297935599999963,2.4025,,-1842.0126553799998,5.468888739999942,2.2523,rattle,Ga2O3_R-3c_s4_0,group_13_metal_oxides_Ga2O3_R-3c,group_13_metal_oxides_Ga2O3_R-3c_s4_0_30.0%,-1830.61328657,True
843,872,group_13_metal_oxides,In2O3,R-3c,-144.46393852,18.0,,,,s4_0,-30.0%,-2590.58677842,1.2653999999999996,,,,,,,-2600.35089336,,3.833634870000127,1.2653999999999996,higher_symmetry,In2O3_R-3c_s4_0,group_13_metal_oxides_In2O3_R-3c_higher_symmetry,group_13_metal_oxides_In2O3_R-3c_s4_0_-30.0%,-2590.58677842,True
858,889,group_13_metal_oxides,Tl2O,C2__m,,,16.0,-228.7142048,,,,,,s5_0,-50.0%,-3649.92266257,0.5395000000000003,0.0028308533333332,0.8411999999999997,,-3659.4272768,3.574134160000243,0.5395000000000003,rattle,Tl2O_C2__m_s5_0,group_13_metal_oxides_Tl2O_C2__m,group_13_metal_oxides_Tl2O_C2__m_s5_0_-50.0%,-3649.92266257,True
878,909,group_13_metal_oxides,Tl2O,C2__m,,,16.0,-228.7142048,,,,,,s4_0,10.0%,-3649.922644,0.5393999999999997,0.0028308533333332,0.8411999999999997,,-3659.4272768,3.574152729999854,0.5393999999999997,rattle,Tl2O_C2__m_s4_0,group_13_metal_oxides_Tl2O_C2__m,group_13_metal_oxides_Tl2O_C2__m_s4_0_10.0%,-3649.922644,True
887,918,group_13_metal_oxides,Al2O3,C2__m,-96.04087194,16.0,,,,s8_0,40.0%,-1523.05109304,3.8391,,,,,,,-1536.65395104,,7.6723779299999695,3.8391,higher_symmetry,Al2O3_C2__m_s8_0,group_13_metal_oxides_Al2O3_C2__m_higher_symmetry,group_13_metal_oxides_Al2O3_C2__m_s8_0_40.0%,-1523.05109304,True
892,923,group_13_metal_oxides,Al2O3,C2__m,-96.04087194,16.0,,,,s6_0,50.0%,-1523.55099837,4.2277,,,,,,,-1536.65395104,,7.17247260000015,4.2277,higher_symmetry,Al2O3_C2__m_s6_0,group_13_metal_oxides_Al2O3_C2__m_higher_symmetry,group_13_metal_oxides_Al2O3_C2__m_s6_0_50.0%,-1523.55099837,True
906,937,group_13_metal_oxides,Al2O3,C2__m,-96.04087194,16.0,,,,s4_0,60.0%,-1523.26879661,3.829099999999999,,,,,,,-1536.65395104,,7.454674360000057,3.829099999999999,higher_symmetry,Al2O3_C2__m_s4_0,group_13_metal_oxides_Al2O3_C2__m_higher_symmetry,group_13_metal_oxides_Al2O3_C2__m_s4_0_60.0%,-1523.26879661,True
918,949,group_13_metal_oxides,Al2O3,C2__m,,,16.0,-94.75971668,,,,,,s6_0,50.0%,-1503.1140687,3.571999999999999,0.009381222,4.4553,,-1516.15546688,7.110918109999988,3.571999999999999,rattle,Al2O3_C2__m_s6_0,group_13_metal_oxides_Al2O3_C2__m,group_13_metal_oxides_Al2O3_C2__m_s6_0_50.0%,-1503.1140687,True
943,974,group_13_metal_oxides,Al2O3,C2__m,,,16.0,-94.75971668,,,,,,s5_0,10.0%,-1502.99851956,3.1791,0.009381222,4.4553,,-1516.15546688,7.226467249999972,3.1791,rattle,Al2O3_C2__m_s5_0,group_13_metal_oxides_Al2O3_C2__m,group_13_metal_oxides_Al2O3_C2__m_s5_0_10.0%,-1502.99851956,True
946,977,group_13_metal_oxides,Al2O3,C2__m,,,16.0,-94.75971668,,,,,,s4_0,-10.0%,-1503.19309173,3.513100000000001,0.009381222,4.4553,,-1516.15546688,7.031895079999844,3.513100000000001,rattle,Al2O3_C2__m_s4_0,group_13_metal_oxides_Al2O3_C2__m,group_13_metal_oxides_Al2O3_C2__m_s4_0_-10.0%,-1503.19309173,True
967,1001,group_13_metal_oxides,Ga2O3,C2__m,,,16.0,-102.44877994,,,,,,s8_0,-60.0%,-1627.84925968,1.9365999999999992,0.0,2.0077999999999996,,-1639.18047904,5.4007392899999775,1.9365999999999992,rattle,Ga2O3_C2__m_s8_0,group_13_metal_oxides_Ga2O3_C2__m,group_13_metal_oxides_Ga2O3_C2__m_s8_0_-60.0%,-1627.84925968,True
975,1009,group_13_metal_oxides,Ga2O3,C2__m,,,16.0,-102.44877994,,,,,,s6_0,-50.0%,-1627.60217686,1.8141,0.0,2.0077999999999996,,-1639.18047904,5.64782210999981,1.8141,rattle,Ga2O3_C2__m_s6_0,group_13_metal_oxides_Ga2O3_C2__m,group_13_metal_oxides_Ga2O3_C2__m_s6_0_-50.0%,-1627.60217686,True
994,1028,group_13_metal_oxides,Ga2O3,C2__m,,,16.0,-102.44877994,,,,,,s4_0,20.0%,-1628.26976069,2.4068,0.0,2.0077999999999996,,-1639.18047904,4.9802382799997975,2.4068,rattle,Ga2O3_C2__m_s4_0,group_13_metal_oxides_Ga2O3_C2__m,group_13_metal_oxides_Ga2O3_C2__m_s4_0_20.0%,-1628.26976069,True
1007,1042,group_13_metal_oxides,Al2O3,Pbcn,,,4.0,-190.51147433,,,,,,s8_0,20.0%,-748.37373963,4.314299999999999,0.0933559135000008,5.313199999999999,,-762.04589732,7.741677619999949,4.314299999999999,rattle,Al2O3_Pbcn_s8_0,group_13_metal_oxides_Al2O3_Pbcn,group_13_metal_oxides_Al2O3_Pbcn_s8_0_20.0%,-748.37373963,True
1010,1045,group_13_metal_oxides,Al2O3,Pbcn,,,4.0,-190.51147433,,,,,,s16_0,60.0%,-748.5125266,4.2193000000000005,0.0933559135000008,5.313199999999999,,-762.04589732,7.602890649999994,4.2193000000000005,rattle,Al2O3_Pbcn_s16_0,group_13_metal_oxides_Al2O3_Pbcn,group_13_metal_oxides_Al2O3_Pbcn_s16_0_60.0%,-748.5125266,True
